date,code,open,high,low,close
2019-02-25,sz.000899,5.0800,5.2600,5.0700,5.2300
2019-02-25,sz.000900,4.4400,4.7500,4.4000,4.7100
2019-02-25,sz.000901,12.1100,12.8700,12.1100,12.7300
2019-02-25,sz.000902,9.5300,9.8200,9.5200,9.7800
2019-02-25,sz.000903,2.7800,2.8800,2.7400,2.8800
2019-02-25,sz.000905,6.8300,7.0700,6.7600,7.0600
2019-02-25,sz.000906,5.4000,5.5900,5.2800,5.5500
2019-02-25,sz.000908,4.5800,4.7200,4.5600,4.7100
2019-02-25,sz.000909,7.6800,7.9900,7.6700,7.9400
2019-02-25,sz.000910,11.9800,12.6600,11.8300,12.3900
2019-02-25,sz.000911,5.8200,6.0500,5.7500,6.0200
2019-02-25,sz.000912,5.0900,5.2300,5.0600,5.2200
2019-02-25,sz.000913,10.0100,10.3900,9.9900,10.3200
2019-02-25,sz.000915,18.8000,19.8100,18.8000,19.3800
2019-02-25,sz.000917,7.7000,8.0400,7.4400,8.0400
2019-02-25,sz.000918,6.9500,7.1800,6.9100,7.1400
2019-02-25,sz.000919,6.9100,7.1700,6.9000,7.1500
2019-02-25,sz.000920,6.1600,6.4300,6.1400,6.4100
2019-02-25,sz.000921,9.4700,9.7700,9.3100,9.7500
2019-02-25,sz.000922,7.0900,7.6700,7.0500,7.4800
2019-02-25,sz.000923,14.0000,14.9500,13.8500,14.6700
2019-02-25,sz.000925,7.3700,7.6500,7.1600,7.6000
2019-02-25,sz.000926,6.8200,7.1000,6.7900,7.0900
2019-02-25,sz.000927,3.6800,3.8600,3.6400,3.8000
2019-02-25,sz.000928,4.6000,4.8300,4.6000,4.8200
2019-02-25,sz.000929,6.8700,7.2000,6.8100,7.1500
2019-02-25,sz.000930,7.8000,8.4500,7.7100,8.3900
2019-02-25,sz.000931,8.5000,8.9800,8.3000,8.9000
2019-02-25,sz.000932,7.1800,7.6400,7.1600,7.5600
2019-02-25,sz.000933,4.4500,4.7500,4.3900,4.7100
2019-02-25,sz.000935,17.0800,17.3900,16.6500,17.1600
2019-02-25,sz.000936,7.6800,8.0500,7.4100,8.0300
2019-02-25,sz.000937,3.9600,4.1800,3.9600,4.1500
2019-02-25,sz.000938,38.2000,40.4100,38.2000,39.8200
2019-02-25,sz.000939,1.0000,1.0400,1.0000,1.0400
2019-02-25,sz.000948,12.6500,12.6500,12.6500,12.6500
2019-02-25,sz.000949,2.9800,3.1300,2.9800,3.1000
2019-02-25,sz.000950,5.4400,5.6400,5.4300,5.6200
2019-02-25,sz.000951,13.9600,14.3800,13.7700,14.3300
2019-02-25,sz.000952,10.4000,10.7500,10.3200,10.7300
2019-02-25,sz.000953,3.6900,3.8200,3.6900,3.8000
2019-02-25,sz.000955,4.5500,4.7600,4.4500,4.7100
2019-02-25,sz.000957,6.8200,7.6300,6.8000,7.6300
2019-02-25,sz.000958,4.0400,4.2100,4.0200,4.1900
2019-02-25,sz.000959,4.0900,4.2500,4.0600,4.2300
2019-02-25,sz.000960,12.1600,12.5700,11.7900,12.5700
2019-02-25,sz.000961,7.1200,7.5100,7.1200,7.4000
2019-02-25,sz.000962,7.2700,7.7600,7.2300,7.6300
2019-02-25,sz.000963,29.6500,30.6800,29.1600,30.6700
2019-02-25,sz.000965,3.9500,4.1200,3.9300,4.1000
2019-02-25,sz.000966,3.8500,4.0200,3.8400,4.0000
2019-02-25,sz.000967,6.3500,6.5900,6.3500,6.5600
2019-02-25,sz.000968,12.6600,13.1600,12.6600,13.0100
2019-02-25,sz.000969,5.7500,5.9900,5.6800,5.9500
2019-02-25,sz.000970,8.8800,9.4500,8.8100,9.3900
2019-02-25,sz.000971,3.5500,3.6500,3.4800,3.6300
2019-02-25,sz.000972,2.9700,3.1100,2.9700,3.0900
2019-02-25,sz.000973,4.5600,4.7400,4.5000,4.7000
2019-02-25,sz.000975,11.0100,11.3500,10.5300,11.3200
2019-02-25,sz.000976,4.6600,4.8500,4.5700,4.7900
2019-02-25,sz.000977,21.3000,22.5000,20.8800,22.3100
2019-02-25,sz.000978,5.8800,6.1100,5.8700,6.1000
2019-02-25,sz.000980,4.7600,5.0000,4.7400,4.9600
2019-02-25,sz.000981,3.2400,3.4900,3.1900,3.4000
2019-02-25,sz.000982,1.2700,1.3000,1.2600,1.3000
2019-02-25,sz.000983,5.9000,6.1800,5.8800,6.1700
2019-02-25,sz.000985,13.1600,13.5900,13.0200,13.5800
2019-02-25,sz.000987,10.2500,10.8400,9.8700,10.8400
2019-02-25,sz.000988,14.4000,14.6300,14.0100,14.3300
2019-02-25,sz.000989,11.1700,11.8400,11.1500,11.7300
2019-02-25,sz.000990,12.8100,13.2300,12.7000,13.2000
2019-02-25,sz.000993,5.2100,5.3500,5.1200,5.3100
2019-02-25,sz.000995,4.2300,4.4000,4.2100,4.3800
2019-02-25,sz.000996,12.5100,13.2800,12.0300,12.9100
2019-02-25,sz.000997,17.2500,18.0800,16.9800,17.7600
2019-02-25,sz.000998,15.3600,16.1900,15.1700,16.1200
2019-02-25,sz.000999,24.0900,25.2900,24.0900,25.2100
2019-02-25,sz.001696,5.8500,6.1400,5.8200,6.1000
2019-02-25,sz.001872,17.0100,17.6700,16.8000,17.5400
2019-02-25,sz.001896,3.3900,3.6200,3.3900,3.6000
2019-02-25,sz.001965,8.5600,8.9400,8.5600,8.9300
2019-02-25,sz.001979,20.9600,22.0500,20.8000,21.8300
2019-02-25,sz.002001,16.5100,17.3400,16.5100,17.2500
2019-02-25,sz.002002,4.8800,5.1800,4.8000,4.9600
2019-02-25,sz.002003,7.4100,7.6300,7.3900,7.6200
2019-02-25,sz.002004,5.1700,5.3600,5.1700,5.3600
2019-02-25,sz.002005,2.6300,2.8100,2.6300,2.7800
2019-02-25,sz.002006,5.7600,6.0200,5.6800,5.9600
